Problem,Win Length,Extra Routes,Times,Dist,Dels/route,Len Route,Time Route
B-n35-k5,8,0.26,3192.3,2903.756318,5.396825397,85.4045976,93.89117647
B-n38-k6,8,0.25,2839.7,2255.942501,4.933333333,60.97141894,76.74864865
B-n39-k5,8,0.28,2695.9,1983.681628,5.9375,52.20214811,70.94473684
B-n41-k6,8,0.35,3277.8,2522.330929,4.938271605,63.05827322,81.945
B-n43-k6,8,0.4,2989.5,2529.201243,5,60.21907722,71.17857143
B-n44-k7,8,0.285714286,3596.8,3006.82188,4.777777778,69.92609023,83.64651163
B-n45-k5,8,0.42,3434.5,2594.279174,6.197183099,58.96089031,78.05681818
B-n45-k6,8,0.233333333,3003.2,2371.820507,5.945945946,53.90501152,68.25454545
B-n50-k7,8,0.414285714,3502.4,2698.07172,4.949494949,55.06268817,71.47755102
B-n50-k8,8,0.2375,4682.3,4279.431707,4.949494949,87.33534097,95.55714286
B-n51-k7,8,0.428571429,4340.5,3573.734575,5,71.4746915,86.81
B-n52-k7,8,0.3,3690.1,2960.71303,5.604395604,58.05319666,72.35490196
B-n56-k7,8,0.685714286,3832.4,2987.055451,4.661016949,54.31009912,69.68
B-n57-k7,8,0.471428571,5245,4771.213899,5.436893204,85.20024819,93.66071429
B-n57-k9,8,0.166666667,5898.6,5524.219222,5.333333333,98.64677183,105.3321429
B-n63-k10,8,0.3,6468.7,6314.210067,4.769230769,101.8420979,104.333871
B-n64-k9,8,0.311111111,4591.7,3446.943387,5.338983051,54.71338709,72.88412698
B-n66-k9,8,0.3,5794.8,5568.419628,5.555555556,85.66799428,89.15076923
B-n67-k10,8,0.21,5141.9,4098.985887,5.454545455,62.10584677,77.90757576
B-n68-k9,8,0.433333333,6480.1,6054.871317,5.19379845,90.37121369,96.71791045
B-n78-k10,8,0.35,6525.4,5981.933732,5.703703704,77.68745107,84.74545455
B-n31-k5,9,0,2082.7,1727.874758,6,57.59582528,69.42333333
B-n34-k5,9,0.14,2509.4,2283.594427,5.789473684,69.19983113,76.04242424
B-n35-k5,9,0.12,2957.6,2802.832026,6.071428571,82.43623607,86.98823529
B-n38-k6,9,0.016666667,2603.4,2417.005421,6.06557377,65.32447083,70.36216216
B-n39-k5,9,0.18,2322.7,2043.233884,6.440677966,53.76931274,61.12368421
B-n41-k6,9,0.283333333,2823.4,2532.195101,5.194805195,63.30487753,70.585
B-n43-k6,9,0.133333333,2653.1,2432.52941,6.176470588,57.9173669,63.16904762
B-n44-k7,9,0.271428571,3361.6,2944.957442,4.831460674,68.48738237,78.17674419
B-n45-k5,9,0.5,2952.3,2643.539668,5.866666667,60.08044701,67.09772727
B-n45-k6,9,0.383333333,2825.8,2298.546745,5.301204819,52.23969875,64.22272727
B-n50-k7,9,0.128571429,2886,2717.290696,6.202531646,55.45491217,58.89795918
