prob,size,demand,avg bags,winlen,dist,time,costDel,getRoutes,getCost,dels/route,loadFactor
A-n45-k7.vrp,45,634,14,1,4310.667777,5280,5.306542792,11,3364.34813,4,57.63636364
A-n45-k7.vrp,45,634,14,1,4485.702091,4909,6.77385985,17,4294.627145,2,37.29411765
A-n45-k7.vrp,45,634,14,1,4055.925598,5214,5.497386901,12,3485.343295,3,52.83333333
A-n45-k7.vrp,45,634,14,1,4104.993453,5033,5.708019297,13,3618.884234,3,48.76923077
A-n45-k7.vrp,45,634,14,1,4292.186583,5013,5.994930332,14,3800.78583,3,45.28571429
A-n45-k7.vrp,45,634,14,14,3340.755794,2935,3.353104776,7,2125.868428,6,90.57142857
A-n46-k7.vrp,46,603,13,1,3803.904754,4018,6.150343045,15,3708.656856,3,40.2
A-n46-k7.vrp,46,603,13,1,3123.529493,7063,7.300253649,16,4402.052951,2,37.6875
A-n46-k7.vrp,46,603,13,1,3503.926626,5180,5.933597704,13,3577.959415,3,46.38461538
A-n46-k7.vrp,46,603,13,1,3530.255791,5162,5.932736198,13,3577.439928,3,46.38461538
A-n46-k7.vrp,46,603,13,1,3483.916072,4985,6.137011908,14,3700.61818,3,43.07142857
A-n46-k7.vrp,46,603,13,1,3451.948719,4908,6.921190713,17,4173.478,2,35.47058824
A-n46-k7.vrp,46,603,13,1,3470.666554,4880,6.643562167,16,4006.067987,2,37.6875
A-n46-k7.vrp,46,603,13,1,3585.41285,4809,6.370303986,15,3841.293303,3,40.2
A-n46-k7.vrp,46,603,13,1,3555.499972,4635,6.578762018,16,3966.993497,2,37.6875
A-n46-k7.vrp,46,603,13,1,3399.530604,4996,6.668233965,16,4020.945081,2,37.6875
A-n46-k7.vrp,46,603,13,1,3588.099915,4940,6.14230131,14,3703.80769,3,43.07142857
A-n46-k7.vrp,46,603,13,1,3705.418034,5214,5.440023068,11,3280.33391,4,54.81818182
A-n46-k7.vrp,46,603,13,1,3640.694193,5405,5.762788094,12,3474.961221,3,50.25
A-n46-k7.vrp,46,603,13,1,3580.56095,5520,5.78926307,12,3490.925631,3,50.25
A-n46-k7.vrp,46,603,13,1,3824.174879,4002,6.420942721,16,3871.828461,2,37.6875
A-n46-k7.vrp,46,603,13,1,3750.337589,4051,6.422868156,16,3872.989498,2,37.6875
A-n46-k7.vrp,46,603,13,1,3754.073287,4289,6.230558167,15,3757.026575,3,40.2
A-n46-k7.vrp,46,603,13,1,3718.99232,4714,5.548792871,12,3345.922101,3,50.25
A-n46-k7.vrp,46,603,13,1,3630.951478,4455,5.989753438,14,3611.821323,3,43.07142857
A-n46-k7.vrp,46,603,13,1,3847.644178,4245,5.690173083,13,3431.174369,3,46.38461538
A-n46-k7.vrp,46,603,13,1,3644.642846,4365,5.69058576,13,3431.423213,3,46.38461538
A-n46-k7.vrp,46,603,13,1,3787.865283,4088,5.89847469,14,3556.780238,3,43.07142857
A-n46-k7.vrp,46,603,13,1,3731.192011,4360,6.249667438,15,3768.549465,3,40.2
A-n46-k7.vrp,46,603,13,1,3748.388392,4601,5.517017317,12,3326.761442,3,50.25
A-n46-k7.vrp,46,603,13,1,3795.707945,4537,5.504971525,12,3319.49783,3,50.25
A-n46-k7.vrp,46,603,13,14,2912.949974,2616,3.336675202,7,2012.015147,6,86.14285714
A-n48-k7.vrp,48,626,13,1,3958.044398,8375,7.869155263,17,4926.091195,2,36.82352941
A-n48-k7.vrp,48,626,13,1,4784.463945,5398,6.024572335,13,3771.382282,3,48.15384615
A-n48-k7.vrp,48,626,13,1,4724.049831,5009,6.15098056,14,3850.51383,3,44.71428571
A-n48-k7.vrp,48,626,13,1,4632.178074,5211,6.198346381,14,3880.164835,3,44.71428571
A-n48-k7.vrp,48,626,13,1,4637.933286,5155,6.181530662,14,3869.638194,3,44.71428571
A-n48-k7.vrp,48,626,13,1,4963.125135,4960,7.227932334,18,4524.685641,2,34.77777778
A-n48-k7.vrp,48,626,13,1,4790.811827,5336,6.005950453,13,3759.724984,3,48.15384615
A-n48-k7.vrp,48,626,13,1,4539.109288,5287,6.205232886,14,3884.475787,3,44.71428571
A-n48-k7.vrp,48,626,13,1,4625.097129,5128,6.694467035,16,4190.736364,3,39.125
A-n48-k7.vrp,48,626,13,1,4637.997148,5137,6.175791799,14,3866.045666,3,44.71428571
A-n48-k7.vrp,48,626,13,1,4393.829892,5488,6.766258942,16,4235.678097,3,39.125
A-n48-k7.vrp,48,626,13,1,4385.422785,5554,6.785773907,16,4247.894466,3,39.125
A-n48-k7.vrp,48,626,13,1,4470.64143,5467,6.511924996,15,4076.465047,3,41.73333333
A-n48-k7.vrp,48,626,13,1,4364.522432,5610,6.537778154,15,4092.649125,3,41.73333333
A-n48-k7.vrp,48,626,13,1,4511.536899,5326,6.736501305,16,4217.049817,3,39.125
A-n48-k7.vrp,48,626,13,1,4558.905618,5545,6.029380123,13,3774.391957,3,48.15384615
A-n48-k7.vrp,48,626,13,1,4447.935445,5620,6.032601353,13,3776.408447,3,48.15384615
