Problem,Deliveries,Demand,Avg.Bags.Del,Time Window,Sol. Distance, Sol. Time,Sol. CostDel,Routes,Sol. Cost,Sol. Avg. Dels Route,Sol. Loading Factor
A-n33-k5,33,446,13.0,7,2307.7627564232102,2161.0,3.4130229652500352,5,1522.2082425015158,6,89.2
A-n33-k5,33,446,13.0,7,2240.9171148370506,2219.0,3.4214961938025445,5,1525.987302435935,6,89.2
A-n33-k5,33,446,13.0,7,2217.766730607397,2235.0,3.42259799883647,5,1526.4787074810656,6,89.2
A-n33-k5,33,446,13.0,7,2352.2470627339944,2155.0,3.4220020321521916,5,1526.2129063398775,6,89.2
A-n33-k5,33,446,13.0,7,2352.886073598306,2092.0,3.3939185439708566,5,1513.687670611002,6,89.2
A-n33-k5,33,446,13.0,7,2186.962596884547,2008.0,4.415862385281372,8,1969.474623835492,4,55.75
A-n33-k5,33,446,13.0,7,2136.12207855185,2355.0,3.4549916663465616,5,1540.9262831905664,6,89.2
A-n33-k5,33,446,13.0,7,1967.2119195812147,2502.0,3.8443134407870008,6,1714.5637945910023,5,74.33333333333333
A-n33-k5,33,446,13.0,7,1990.4671631195288,2176.0,3.704225690773509,6,1652.084658084985,5,74.33333333333333
A-n33-k5,33,446,13.0,7,2180.3796839388974,2129.0,3.7329695583427154,6,1664.904423020851,5,74.33333333333333
A-n33-k5,33,446,13.0,7,2265.884947351804,2097.0,4.1087635400003615,7,1832.5085388401612,4,63.714285714285715
0,1,2,3,4,5,6,7,8,9,
Grand front ,6,A-n33-k5.vrp,n,7,obj0Min,2044.161086601346,obj0Max,2241.5984481795545,obj1Min,2019.0,obj1Max,3048.0,obj2Min,3.4150153767685407,obj2Max,4.477055711059097
A-n33-k5,33,446,13.0,6,2045.2722909296517,2319.0,3.4150153767685407,5,1523.0968580387691,6,89.2
A-n33-k5,33,446,13.0,6,2075.10179555142,2266.0,3.7667867939002604,6,1679.986910079516,5,74.33333333333333
A-n33-k5,33,446,13.0,6,2128.7518983629625,2078.0,3.6965559912745887,6,1648.6639721084666,5,74.33333333333333
A-n33-k5,33,446,13.0,6,2209.1528068780426,2019.0,4.0589033148088145,7,1810.270878404731,4,63.714285714285715
A-n33-k5,33,446,13.0,6,2241.5984481795545,2211.0,3.4180874852847714,5,1524.467018437008,6,89.2
A-n33-k5,33,446,13.0,6,2056.6270614312007,2296.0,3.7753931977297097,6,1683.8253661874505,5,74.33333333333333
A-n33-k5,33,446,13.0,6,2044.161086601346,3048.0,4.477055711059097,7,1996.7668471323573,4,63.714285714285715
0,1,2,3,4,5,6,7,8,9,
Grand front ,5,A-n33-k5.vrp,n,9,obj0Min,1861.5488543105264,obj0Max,2038.794513305214,obj1Min,2152.0,obj1Max,2586.0,obj2Min,3.7204877164571597,obj2Max,4.221975820525407
A-n33-k5,33,446,13.0,5,2034.6770917347828,2152.0,4.0727740352757165,7,1816.4572197329696,4,63.714285714285715
A-n33-k5,33,446,13.0,5,1861.5488543105264,2586.0,4.221975820525407,7,1883.0012159543317,4,63.714285714285715
A-n33-k5,33,446,13.0,5,1933.8908534665707,2500.0,3.834675403263652,6,1710.2652298555888,5,74.33333333333333
A-n33-k5,33,446,13.0,5,1876.0444178661214,2586.0,3.8580654638796776,6,1720.6971968903363,5,74.33333333333333
A-n33-k5,33,446,13.0,5,1920.1698583400653,2525.0,3.842286711717013,6,1713.6598734257877,5,74.33333333333333
A-n33-k5,33,446,13.0,5,1880.1821878174815,2410.0,4.147940170346739,7,1849.9813159746454,4,63.714285714285715
A-n33-k5,33,446,13.0,5,1945.5832623405522,2300.0,3.748056595726109,6,1671.6332416938446,5,74.33333333333333
A-n33-k5,33,446,13.0,5,1972.1155687170344,2223.0,3.7204877164571597,6,1659.3375215398933,5,74.33333333333333
