prob,winlen,dist,time,costDel,routes
A-n46-k7.vrp,1,3731.192011,4360,6.249667438,15
A-n46-k7.vrp,1,3748.388392,4601,5.517017317,12
A-n46-k7.vrp,1,3795.707945,4537,5.504971525,12
A-n46-k7.vrp,14,2912.949974,2616,3.336675202,7
A-n48-k7.vrp,1,3958.044398,8375,7.869155263,17
A-n48-k7.vrp,1,4784.463945,5398,6.024572335,13
A-n48-k7.vrp,1,4724.049831,5009,6.15098056,14
A-n48-k7.vrp,1,4632.178074,5211,6.198346381,14
A-n48-k7.vrp,1,4637.933286,5155,6.181530662,14
A-n48-k7.vrp,1,4963.125135,4960,7.227932334,18
A-n48-k7.vrp,1,4790.811827,5336,6.005950453,13
A-n48-k7.vrp,1,4539.109288,5287,6.205232886,14
A-n48-k7.vrp,1,4625.097129,5128,6.694467035,16
A-n48-k7.vrp,1,4637.997148,5137,6.175791799,14
A-n48-k7.vrp,1,4393.829892,5488,6.766258942,16
A-n48-k7.vrp,1,4385.422785,5554,6.785773907,16
A-n48-k7.vrp,1,4470.64143,5467,6.511924996,15
A-n48-k7.vrp,1,4364.522432,5610,6.537778154,15
A-n48-k7.vrp,1,4511.536899,5326,6.736501305,16
A-n48-k7.vrp,1,4558.905618,5545,6.029380123,13
A-n48-k7.vrp,1,4447.935445,5620,6.032601353,13
A-n48-k7.vrp,1,4028.967474,6780,6.324902867,13
A-n48-k7.vrp,1,4068.942844,5687,5.721192193,12
A-n48-k7.vrp,14,4536.283897,2914,3.612692038,7
A-n48-k7.vrp,14,3593.491714,3154,3.513160592,7
A-n48-k7.vrp,14,3598.496342,3107,3.499079987,7
A-n53-k7.vrp,1,4056.72178,6001,6.721139229,17
A-n53-k7.vrp,1,4135.867779,5868,6.695024895,17
A-n53-k7.vrp,1,4130.649125,5929,6.959466789,18
A-n53-k7.vrp,1,4236.596663,5821,7.439581039,20
A-n53-k7.vrp,1,4681.797555,6040,6.349051678,15
A-n53-k7.vrp,1,4831.291234,5941,6.098585955,14
A-n53-k7.vrp,1,4923.628818,5813,6.076302066,14
A-n53-k7.vrp,1,5353.895235,5408,9.240972504,27
A-n53-k7.vrp,1,4778.488311,5912,6.327534838,15
A-n53-k7.vrp,1,4982.561179,5468,6.970722376,18
A-n53-k7.vrp,1,4699.566193,5973,6.085013922,14
A-n53-k7.vrp,1,4926.251223,5732,6.052366556,14
A-n53-k7.vrp,1,5037.651811,5464,6.979224792,18
A-n53-k7.vrp,1,4702.49614,5808,6.529807302,16
A-n53-k7.vrp,1,5353.547649,5402,9.733079932,29
A-n53-k7.vrp,1,5228.833774,5443,9.723454144,29
A-n53-k7.vrp,1,4638.698272,5813,6.767059786,17
A-n53-k7.vrp,1,4834.166564,5495,6.211743205,15
A-n53-k7.vrp,1,4573.037852,6308,5.916634682,13
A-n53-k7.vrp,1,4588.240203,6220,6.139795337,14
A-n53-k7.vrp,14,3879.889566,3339,3.418293794,7
A-n53-k7.vrp,14,3771.520321,3365,3.654017888,8
A-n53-k7.vrp,14,5018.593906,3303,4.349059468,10
A-n53-k7.vrp,14,5032.024164,3298,3.855944017,8
A-n54-k7.vrp,1,5003.382643,6237,7.397303093,19
A-n54-k7.vrp,1,5013.399114,6531,6.506379217,15
A-n54-k7.vrp,1,4934.366306,6251,7.14427632,18
A-n54-k7.vrp,1,5006.222834,6225,7.394212364,19
A-n54-k7.vrp,1,5009.452448,6070,7.59358137,20
A-n54-k7.vrp,1,5035.765377,5933,7.066942525,18
A-n54-k7.vrp,1,4725.12495,6532,6.946546516,17
A-n54-k7.vrp,1,5319.338496,6101,6.921618242,17
A-n54-k7.vrp,14,4236.462881,3765,3.827602626,8
A-n54-k7.vrp,14,4303.685029,3764,3.593918009,7
A-n54-k7.vrp,14,4279.754305,3773,3.592423399,7
A-n54-k7.vrp,14,4290.026681,3674,3.809765503,8
A-n54-k7.vrp,14,4232.353544,3759,4.070232234,9
A-n54-k7.vrp,14,4216.8246,3779,4.073495483,9
A-n54-k7.vrp,14,4371.91277,3745,3.600170096,7
A-n55-k9.vrp,1,5942.78636,5149,8.897623366,35
A-n55-k9.vrp,1,3915.115111,7849,6.717364086,22
A-n55-k9.vrp,1,4509.540856,5769,7.477254208,28
A-n55-k9.vrp,1,4267.703944,5987,7.690967058,29
A-n55-k9.vrp,1,4465.858979,6010,5.769374852,19
A-n55-k9.vrp,1,4491.66859,6015,5.578695143,18
